id_estudiante,cluster
0,5
1,6
2,6
3,5
4,2
5,1
6,5
7,5
8,3
9,3
10,6
11,5
12,1
13,5
14,3
15,0
16,2
17,1
18,1
19,1
20,0
21,4
22,0
23,0
24,6
25,6
26,0
27,0
28,0
29,6
30,6
31,6
32,4
33,3
34,5
35,6
36,0
37,4
38,0
39,5
40,3
41,6
42,3
43,3
44,0
45,1
46,1
47,6
48,3
49,2
50,1
51,6
52,6
53,2
54,3
55,2
56,3
57,4
58,6
59,2
60,4
61,5
62,6
63,4
64,6
65,3
66,0
67,4
68,6
69,3
70,6
71,2
72,2
73,6
74,4
75,1
76,1
77,5
78,0
79,4
80,0
81,5
82,3
83,4
84,3
85,0
86,2
87,2
88,0
89,5
90,0
91,1
92,1
93,6
94,5
95,2
96,6
97,6
98,0
99,4
100,0
101,6
102,0
103,0
104,1
105,5
106,5
107,5
108,6
109,0
110,5
111,3
112,3
113,4
114,6
115,1
116,0
117,2
118,3
119,0
120,4
121,0
122,0
123,4
124,4
125,6
126,0
127,5
128,1
129,0
130,3
131,4
132,4
133,0
134,3
135,6
136,4
137,2
138,1
139,4
140,4
141,5
142,6
143,6
144,6
145,3
146,0
147,6
148,2
149,2
150,3
151,4
152,1
153,0
154,5
155,6
156,3
157,0
